
$ CUSTOMER	BOULEVARD						
$ USER	stewartboulevard						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	PO - BM100080043  //  Booking-In Required 24 hours in advance (07825 863954)						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	BVENT0579	5					
$ ITEM	2564604902    	10					
$ ITEM	FCE005	10					
$ ITEM	CRIMPCD022	10					
$ ITEM	BVAR0523	15					
$ ITEM	CRIMCD465	15					
$ ITEM	BVAR0510	5					
$ ITEM	BVENT0684	5					
$ ITEM	VDI0054	10					
$ ITEM	BVAR0514	15					
$ ITEM	BVAR0518	5					
$ ITEM	BMOV0665	15					
$ ITEM	EDV9309	7					
$ ITEM	BVAR0605	5					
$ ITEM	BLVDD0746	10					
$ ITEM	BOUL0061	10					
$ ITEM	BOUL0064	15					
$ ITEM	CRIMPCD012	10					
$ ITEM	UMDBV1225	10					
$ ITEM	3950372    	10					
$ ITEM	THERB414	2					
$ ITEM	INF459	15					
$ ITEM	BVAR0617	10					
$ ITEM	BVAR0558	20					
$ ITEM	BLVDD0598	10					
$ ITEM	FMDV1148	10					
$ ITEM	UMDBV0603	10					
$ ITEM	CRIMCD425	10					
$ ITEM	STRAXDVD038	10					
$ ITEM	BVAR0590	20					
$ ITEM	CRIMCD06	20					
$ ITEM	BOUL0824	30					
	DV1185	10					
	BVAR0263	10					
	DECULT16	10					
	LTDMG015	15					
	5075582    	10					
	BLVDD0900	10					
	UMDBV0706	2					
	BVENT0349	20					
	INF231	10					
	3810472    	5					
	BLVDD0779	10					
	2352032    	10					
	DVDIV035	10					
	BLVDD0466	10					
	ILC3671	10					
	BVAR0612	5					
	DDS114	5					
	C4DVD10131	5					
	6960112    	5					
	PB003CD	15					
	9780954835880    	10					
	88697055422    	10					
	RTRADCD160	10					
	6862    	10					
	R206	8					
	9780954835804    	3					
	CRIMCD482	10					
	LDVD093	15					
	JW444	10					
	CRIMCD480	10					
	785512    	10					
	INF252	5					
	BVAR0609	5					
	BVAR0506	40					
	9876933    	10					
	SCE94CD	15					
	BVAR0559	10					
	STRAXDVD030	10					
	BVAR0606	40					
	BVAR0865	5					
	INF458	5					
	5046791822    	15					
	BVAR0627	24					
	BVAR0542	20					
	BVAR0406	20					
	BMOV0655	40					
	D024406	10					
	1768516    	5					
	COUNT003CD	5					
	TETRA004	5					
	BRASSIC32CD	15					
	BLVDD0427	5					
	DECULT04	10					
	BVAR0580	15					
	BLVDD0661	5					
	SLIM0660	30					
	LTDMG013	15					
	BOUL0122	40					
	VR241	15					
	MDV698	7					
	DVDIV085	15					
	ILC3649	15					
	BLVDD0699	15					
	BVAR0540	20					
Direct Offers	Goods-In Area	136 Edinburgh Avenue		Slough	Berkshire	SL1 4SS	UK
