$ CUSTOMER	QUANTUM			
$ ITEM	SD5006	1		
$ ITEM	SD55	1		
$ ITEM	SFD31	1		
$ ITEM	STDC0107	1		
$ ITEM	STDC0113	1		
$ ITEM	STDC0114	1		
$ ITEM	STDC1067	1		
$ ITEM	STDC1128	1		
$ ITEM	STDC1159	1		
$ ITEM	STDC1173	1		
$ ITEM	STDC1258	1		
$ ITEM	STDC1258	1		
$ ITEM	SVD40	1		
$ ITEM	SVD5042	1		
$ ITEM	SVD5085	2		
$ ITEM	SVD5132	2		
$ ITEM	SVD5134	1		
$ ITEM	SVD54	1		
$ ITEM	SVD93	1		
$ ITEM	SVD98	1		
$ ITEM	TAKRLDVD1	1		
$ ITEM	TARRGDVD1	1		
$ ITEM	TF55085	1		
$ ITEM	TTR1	1		
$ ITEM	TTR6	1		
$ ITEM	TUMIDVD801	1		
$ ITEM	VEGD996	1		
$ ITEM	VESTA13013	1		
$ ITEM	XD0603	1		
$ ITEM	XDVD4303	1		
$ ITEM	XDVD4317	1		
$ ITEM	Y5045DVD	1		
M S E (send it)	1 Eagle Park Drive	Warrington	WA2 8JA	Goods In
