$ CUSTOMER	BOULEVARD						
$ USER	rabeelboulevard						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	COLLECTION TO BE ARRANGED BY BOULEVARD						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	sp1004	155					
$ ITEM	VDI0030	150					
$ ITEM	UWI0060	147					
$ ITEM	9849972    	144					
$ ITEM	GRFL012	141					
$ ITEM	CRIMCD465	140					
$ ITEM	9821360    	140					
$ ITEM	CRIMCD278	139					
$ ITEM	UWI0088	139					
$ ITEM	BLVDD0775	138					
$ ITEM	UWI0010	135					
$ ITEM	BVENT0513	135					
$ ITEM	UWI0049	135					
$ ITEM	TETRA007	131					
$ ITEM	4781029DH	126					
$ ITEM	BVENT0163	126					
$ ITEM	BOUL0582	124					
$ ITEM	EC9815136	124					
$ ITEM	BSCDA001	121					
$ ITEM	UWI0084	120					
$ ITEM	2564604902    	117					
$ ITEM	9876933    	117					
$ ITEM	VTDCD961	117					
$ ITEM	BVENT0165	116					
$ ITEM	UWI0058	116					
$ ITEM	BLVDD0778	115					
$ ITEM	UWI0025	108					
$ ITEM	785272    	107					
$ ITEM	VR241	106					
$ ITEM	UWI0011	106					
$ ITEM	BOUL0591	106					
$ ITEM	CDGJEWEL018	102					
$ ITEM	BVENT0254	102					
$ ITEM	DVD3083	101					
$ ITEM	D024406	100					
$ ITEM	UWI0020	100					
$ ITEM	BLVDD0972-H	98					
$ ITEM	PURE186CD	98					
$ ITEM	SCE94CD	97					
$ ITEM	3810472    	94					
$ ITEM	3872072    	94					
$ ITEM	UWI0030	94					
$ ITEM	5101172142    	90					
$ ITEM	SCCD003	87					
$ ITEM	UWI0009	84					
$ ITEM	UWI0055	84					
$ ITEM	1748541    	84					
$ ITEM	BOUL0589	83					
$ ITEM	TETRA002	81					
$ ITEM	BOUL0590	80					
$ ITEM	COUNT003CD	80					
$ ITEM	WRUCD101	77					
$ ITEM	CRIMCD264	77					
$ ITEM	9849590    	75					
$ ITEM	TWENTYCDLP02	74					
