
$ CUSTOMER	POS1						
$ USER	stewartpositive						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	Amazon reference ID: X5928395						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	PN0041-4024572417383NAS	2					
$ ITEM	PN0041-4260066470544NAS	1					
$ ITEM	PN0041-5021392926124NNS	1					
$ ITEM	PN0041-5021392931128NNS	1					
$ ITEM	PN0041-5021449215621NAS	1					
$ ITEM	PN0041-5021449491025NAS	1					
$ ITEM	PN0041-5023903262165NAS	1					
$ ITEM	PN0041-5024441882143NNS	2					
$ ITEM	PN0041-5024545151121NAS	10					
$ ITEM	PN0041-5024545185621NAS	2					
$ ITEM	PN0041-5024545240320NNS	1					
$ ITEM	PN0041-5024545458121NAS	3					
$ ITEM	PN0041-5024545528022NNS	1					
$ ITEM	PN0041-5025425165450NAS	1					
$ ITEM	PN0041-5030094099920NNS	4					
$ ITEM	PN0041-5050693168629NAS	2					
$ ITEM	PN0041-5055300315441NAS	2					
$ ITEM	PN0041-5055300321312NAS	1					
$ ITEM	PN0041-5055300321343NAS	1					
$ ITEM	PN0041-5055300329424NAS	4					
$ ITEM	PN0041-5055300332639NNS	1					
$ ITEM	PN0041-5055317231499NNS	1					
$ ITEM	PN0041-5060096473287NAS	1					
$ ITEM	PN0041-5060096473770NAS	4					
$ ITEM	PN0041-5060096473794NAS	1					
$ ITEM	PN0041-5060096473800NAS	1					
$ ITEM	PN0041-600116826626NAS	1					
$ ITEM	PN0041-608866375371NNS	1					
$ ITEM	PN0041-616895069727NNS	1					
$ ITEM	PN0041-64956300952NAS	2					
$ ITEM	PN0041-649563012022NAS	18					
$ ITEM	PN0041-656605822426NAS	1					
$ ITEM	PN0041-666017125121NNS	7					
$ ITEM	PN0041-666017229829NAS	1					
$ ITEM	PN0041-678277139527NNS	1					
$ ITEM	PN0041-689492036324NAS	1					
$ ITEM	PN0041-689492037024NAS	3					
$ ITEM	PN0041-689492109127NAS	1					
$ ITEM	PN0041-8024391050620NAS	1					
$ ITEM	PN0041-822720711321NAS	5					
$ ITEM	PN0041-827147001628NAS	1					
$ ITEM	PN0041-84264020212NAS	13					
$ ITEM	PN0041-84269402031NAS	3					
$ ITEM	PN0041-842694020373NAS	1					
$ ITEM	PN0041-842694020441NAS	1					
$ ITEM	PN0041-842694020755NAS	1					
$ ITEM	PN0041-842694020922NAS	12					
$ ITEM	PN0041-843041065795NAS	2					
$ ITEM	PN0041-859700839454NAS	1					
$ ITEM	PN0042-3526186610729NAS	1					
$ ITEM	PN0042-5021449120321NAS	1					
$ ITEM	PN0042-5021449176526NAS	2					
$ ITEM	PN0042-5021449208326NAS	2					
$ ITEM	PN0042-5021449209026NAS	2					
$ ITEM	PN0042-5021449212026NAS	1					
$ ITEM	PN0042-5021449215522NAS	11					
$ ITEM	PN0042-5021449491025NAS	35					
$ ITEM	PN0042-5021449491124NAS	1					
$ ITEM	PN0042-5024492171203NAS	6					
$ ITEM	PN0042-5060047114141NAS	1					
$ ITEM	PN0042-603375060428NAS	2					
$ ITEM	PN0042-603375070823NAS	5					
$ ITEM	PN0042-634457523821NAS	18					
$ ITEM	PN0042-634457701229NAS	25					
$ ITEM	PN0042-666017213026NAS	1					
$ ITEM	PN0042-666017222424NAS	1					
$ ITEM	PN0042-744302013329NAS	1					
$ ITEM	PN0042-789577302525NAS	25					
$ ITEM	PN0042-842694020076NAS	4					
$ ITEM	PTWN1305-0991NASX	1					
$ ITEM	PTWN1305-2466NNSX	2					
$ ITEM	PTWN1305-2952NASX	1					
$ ITEM	PTWN1305-3129NASX	28					
$ ITEM	PTWN1305-5940NASX	3					
$ ITEM	PTWN1305-6176NASX	5					
$ ITEM	TW003-5051865470229NNS	14					
$ ITEM	TW003-886977363320NNS	3					
Amazon.co.uk	FBA Goods-In Area	Ffordd Amazon	Crmlyn Burrows	Swansea		SA1 8AX	UK
