$ CUSTOMER	QUANTUM						
$ USER	rabeelquantum						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1	P/O: BM100083796						
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS							
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	3911	8					
$ ITEM	8591	2					
$ ITEM	8654	1					
$ ITEM	47023	1					
$ ITEM	66443	2					
$ ITEM	99188	1					
$ ITEM	107450	1					
$ ITEM	786857	1					
$ ITEM	2618026	1					
$ ITEM	ACE11028A	1					
$ ITEM	ACVD016	1					
$ ITEM	ADVD062	1					
$ ITEM	ANA50480	1					
$ ITEM	AUG0051D	1					
$ ITEM	AUSTINGOHDV	1					
$ ITEM	BOE7277	1					
$ ITEM	BOE7383	1					
$ ITEM	BW011	1					
$ ITEM	CC110	1					
$ ITEM	CG1592	1					
$ ITEM	CK8102	1					
$ ITEM	CLP0062	1					
$ ITEM	COF23	1					
$ ITEM	D201	1					
$ ITEM	DAVID0127	1					
$ ITEM	DAVID0137	1					
$ ITEM	DAVID0181	2					
$ ITEM	DD1485	1					
$ ITEM	DE4080	1					
$ ITEM	DE4132	1					
$ ITEM	DE4780	1					
$ ITEM	DE7395	1					
$ ITEM	DNGDVD3	1					
$ ITEM	DS91738	1					
$ ITEM	DT16044	1					
$ ITEM	DUK0065	1					
$ ITEM	DUK0123	1					
$ ITEM	DV10802	1					
$ ITEM	DVD8516	1					
$ ITEM	DVDTF55084	1					
$ ITEM	EACD1467	3					
$ ITEM	EMH408	1					
$ ITEM	F471DVD	1					
$ ITEM	FDVD2057	1					
$ ITEM	FDVD2073	3					
$ ITEM	FR00905	2					
$ ITEM	FT9753	1					
$ ITEM	FT9774	1					
$ ITEM	GAMDVD01	1					
$ ITEM	GRV10507	1					
$ ITEM	GW960	1					
$ ITEM	HL00320312	2					
$ ITEM	HL00320369	1					
$ ITEM	HL00320415	1					
$ ITEM	HL00320419	1					
$ ITEM	HL00320420	1					
$ ITEM	HL00320593	1					
$ ITEM	HL00320603	1					
$ ITEM	HL00320708	1					
$ ITEM	HL00320784	1					
$ ITEM	HL00321278	3					
$ ITEM	HL00321279	1					
$ ITEM	HL00321280	1					
$ ITEM	HL00642051	1					
$ ITEM	HL00642071	1					
$ ITEM	HSD012	2					
$ ITEM	IDS1	1					
$ ITEM	IMP908072	1					
$ ITEM	IMP908073	1					
$ ITEM	IMPH0031	3					
$ ITEM	IMPH0357	1					
$ ITEM	IMPH0432	3					
$ ITEM	IMPH0435	1					
$ ITEM	IX1209GMUKD	1					
$ ITEM	IX1311TTUKD	1					
$ ITEM	JKEX1	1					
$ ITEM	K1512	1					
$ ITEM	K1548	1					
$ ITEM	K1595	1					
$ ITEM	KF0000	1					
$ ITEM	KRV125	1					
$ ITEM	LBOX4742	1					
$ ITEM	LLDDSF	1					
$ ITEM	LLDDV2	1					
$ ITEM	LSD11	3					
$ ITEM	LSD418	1					
$ ITEM	M21960	2					
$ ITEM	MDV052	2					
$ ITEM	MDVD019	1					
$ ITEM	MHC20009	1					
$ ITEM	MP42087	2					
$ ITEM	MSD1273	1					
$ ITEM	MVD0460	1					
$ ITEM	MVD1437	1					
$ ITEM	MVD9779	2					
$ ITEM	MW024	1					
$ ITEM	MW1445	1					
$ ITEM	N204DVD	1					
$ ITEM	N5045DVD	1					
$ ITEM	NOM062D	1					
$ ITEM	PB021	1					
$ ITEM	PBD10	1					
$ ITEM	PSD0204	1					
$ ITEM	QLD0066	1					
$ ITEM	QLDVD0251	1					
$ ITEM	QLDVD0259	1					
$ ITEM	QLDVD0302	1					
$ ITEM	QLDVD0309	1					
$ ITEM	QLDVD0365	1					
$ ITEM	QLDVD0375	1					
$ ITEM	QLDVD6428	1					
$ ITEM	QLDVD6492	1					
$ ITEM	QLDVD6645	1					
$ ITEM	QLDVD6750	1					
$ ITEM	QLDVD6824	1					
$ ITEM	QLDVD6879	2					
$ ITEM	QLDVD6880	2					
$ ITEM	QLDVD6884	2					
$ ITEM	QLDVD6885	2					
$ ITEM	QLDVD6920	1					
$ ITEM	QLDVD6929	1					
$ ITEM	QLDVD6958	2					
$ ITEM	QLDVD7059	1					
$ ITEM	RDR0031	1					
$ ITEM	RDR0044	1					
$ ITEM	RDR0050	1					
$ ITEM	RDR0121	1					
$ ITEM	RDR0128	1					
$ ITEM	RDR0131	1					
$ ITEM	RDR0204	1					
$ ITEM	RDR0214	1					
$ ITEM	RDR0353	1					
$ ITEM	RGPDVD1	1					
$ ITEM	RRDRKDVD01	1					
$ ITEM	RRMCDVD1	1					
$ ITEM	RRMCDVD2	1					
$ ITEM	RRMCDVD3	1					
$ ITEM	SD013	1					
$ ITEM	SD014	1					
$ ITEM	SD015	1					
$ ITEM	SD016	1					
$ ITEM	SD017	1					
$ ITEM	SD018	1					
$ ITEM	SD021	1					
$ ITEM	SD025	1					
$ ITEM	SD15	1					
$ ITEM	SD17	1					
$ ITEM	SD18	1					
$ ITEM	SD25	1					
$ ITEM	SD26	1					
$ ITEM	SD35	1					
$ ITEM	SD42	1					
$ ITEM	SD43	1					
$ ITEM	SD5003	1					
$ ITEM	SD5008	1					
$ ITEM	SD5011	1					
$ ITEM	SD55	1					
$ ITEM	SEXD6425	1					
$ ITEM	SEXD6635	1					
$ ITEM	SG004	1					
$ ITEM	SK11440	1					
$ ITEM	SMARTDVD2	1					
$ ITEM	SMARTDVD41	1					
$ ITEM	SMARTDVD6	1					
$ ITEM	SMARTDVD7	1					
$ ITEM	SMARTDVD9	1					
$ ITEM	SMRT05	1					
$ ITEM	STDC1111	1					
$ ITEM	STDC1166	1					
$ ITEM	SVD25	1					
$ ITEM	SVD5089	2					
$ ITEM	SVD5102	1					
$ ITEM	SVD67	1					
$ ITEM	T1221	1					
