
$ CUSTOMER	BOULEVARD						
$ USER	stewartboulevard						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	P/O REF: BOULEVARD ENTERTAINMENT						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	5229022	254					
$ ITEM	BVENT0103	597					
$ ITEM	CRIMCD214	490					
$ ITEM	CRIMPCD012	68					
$ ITEM	CRIMCD278	159					
$ ITEM	CRIMCD264	97					
$ ITEM	STRAXCDG019	73					
$ ITEM	CRIMCD29	45					
$ ITEM	CDGJEWEL018	122					
$ ITEM	KRKCD019	60					
$ ITEM	LTDMG014	58					
$ ITEM	CDGJEWEL019	52					
$ ITEM	KRKCD056	51					
$ ITEM	5304542	48					
$ ITEM	CDGJEWEL017	40					
$ ITEM	KRKCD006	25					
$ ITEM	CRIMCD06	640					
$ ITEM	STRAXDVD030	640					
$ ITEM	STRAXDVD029	532					
$ ITEM	STRAXDVD036	410					
$ ITEM	BVAR0092	346					
$ ITEM	INF460	899					
$ ITEM	BOUL0122	618					
$ ITEM	BVAR0020	294					
$ ITEM	BVAR0089	280					
$ ITEM	BOUL0889	269					
$ ITEM	BVAR0019	89					
$ ITEM	INF459	1545					
$ ITEM	BVAR0594	2466					
$ ITEM	BVED0122	78					
The Game Exchange Ltd	Goods-In Area	131 High Street		Rhyl	Denbigshire	LL18 1TR	UK
