$ CUSTOMER	Boulevard						
$ USER	rabeelboulevard						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	FBA ID: FBABNTXDW						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	INF460	150					
$ ITEM	REVD2840	150					
$ ITEM	UMDBV0603	90					
$ ITEM	BVED0132	75					
$ ITEM	REVD2622	75					
$ ITEM	UMDBV1282	60					
$ ITEM	BOUL0057	50					
$ ITEM	BOUL0122	50					
$ ITEM	MTD5434	50					
$ ITEM	3023901000	25					
$ ITEM	703522	25					
$ ITEM	ABD6091	25					
$ ITEM	BLVDD0041	25					
$ ITEM	BLVDD0427	25					
$ ITEM	BLVDD0665	25					
$ ITEM	BMOV0657	25					
$ ITEM	BMOV0664	25					
$ ITEM	BMOV0666	25					
$ ITEM	BOUL0071	25					
$ ITEM	BVAR0205	25					
$ ITEM	BVAR0540	25					
$ ITEM	BVAR0627	25					
$ ITEM	BVAR0629	25					
$ ITEM	BVED0117	25					
$ ITEM	BVED0121	25					
$ ITEM	NEWCD9042	25					
$ ITEM	GRD1030	20					
$ ITEM	BVAR0393	15					
$ ITEM	UMDBV1113	15					
$ ITEM	LTDMG014	13					
$ ITEM	BOUL0031	5					
Amazon.co.uk	Boundary Way		Hemel Hempstead	Hertfordshire		HP2 7LF	UK
