$ CUSTOMER	QUANTUM						
$ USER	rabeelquantum						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	BM100083195						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	HL00320593	3	Added item HL00320593 to order contents list.	y			
$ ITEM	QLDVD6879	1	Added item QLDVD6879 to order contents list.	y			
$ ITEM	FDVD2020	2	Added item FDVD2020 to order contents list.	y			
$ ITEM	QLDVD6579	1	Added item QLDVD6579 to order contents list.	y			
$ ITEM	FDVD2073	1	Added item FDVD2073 to order contents list.	y			
$ ITEM	QLDVD6863	2	Added item QLDVD6863 to order contents list.	y			
$ ITEM	QLDVD6053	1	Added item QLDVD6053 to order contents list.	y			
$ ITEM	QLDVD6700	1	Added item QLDVD6700 to order contents list.	y			
$ ITEM	HL00320433	1	Added item HL00320433 to order contents list.	y			
$ ITEM	RDR0207	1	Added item RDR0207 to order contents list.	y			
$ ITEM	HL00320784	1	Added item HL00320784 to order contents list.	y			
$ ITEM	FDVD2047	1	Added item FDVD2047 to order contents list.	y			
$ ITEM	MW001	1	Added item MW001 to order contents list.	y			
$ ITEM	QLDVD6945	1	Added item QLDVD6945 to order contents list.	y			
$ ITEM	SVD5006	1	Added item SVD5006 to order contents list.	y			
$ ITEM	QLDVD6025	1	Added item QLDVD6025 to order contents list.	y			
$ ITEM	QLDVD0246	1	Added item QLDVD0246 to order contents list.	y			
$ ITEM	7955	1	Added item 7955 to order contents list.	y			
$ ITEM	DS91736	2	Added item DS91736 to order contents list.	y			
$ ITEM	HL00320350	2	Added item HL00320350 to order contents list.	y			
$ ITEM	AUSTINGOHDV	1	Added item AUSTINGOHDV to order contents list.	y			
$ ITEM	HL00631536	1	Added item HL00631536 to order contents list.	y			
$ ITEM	SFP1778	4	Added item SFP1778 to order contents list.	y			
$ ITEM	RDR0333	1	Added item RDR0333 to order contents list.	y			
$ ITEM	RDR0335	1	Added item RDR0335 to order contents list.	y			
MSE (Send It)	Goods In	1 Eagle Park Drive		Warrington		WA2 8JA	UK
